Word,AoALikert,Frequency
Radfahren,2.45,0.0021988826695601665
Radieschen,2.84,0.0003708296168559363
Radio,2.21,0.011688953336387555
Rakete,2.67,0.0041457410523563585
Ratte,2.745,0.001772042510218856
Raubtier,2.59,0.0006246020623456844
Raum,2.61,0.06359572215603403
Raupe,2.21,0.0009452213189785807
Regal,2.21,0.004513965796938791
Regen,1.74,0.012805447901651508
Regentag,3.0,0.0002940264050229532
Regenwurm,2.45,0.0002918961983637327
Reh,2.3,0.00207001674388743
Reifen,2.35,0.00463442666807569
Reifenquietschen,3.0,6.135921355363437e-06
Reihe,2.22,0.039816456763357516
Reis,2.08,0.0031370766220053404
Reise,2.52,0.03817748270607932
Reiten,3.0,0.0017068049312802278
Reiter,2.21,0.006100379320342747
Rest,2.47,0.019086813747557267
Riese,2.33,0.002729142046764612
Rind,2.41,0.0026531376624288365
Rinde,2.96,0.0006307727153313612
Ring,2.47,0.016371691702229154
Ritter,2.26,0.006308178664507687
Robbe,2.93,0.0014181503517457438
Roboter,2.91,0.0031828066019179545
Rock,2.09,0.01286189837812085
Rodeln,2.05,0.0003879523106004316
Rolle,2.47,0.055186268280356866
Rose,2.0,0.008134981378520636
Rotkohl,2.85,0.0002899859586964969
Rucksack,2.64,0.004030814087649391
Ruhe,2.29,0.019975399354704833
Rüssel,2.17,0.00035723797219330106
Sache,2.83,0.06561661679744824
Sack,2.07,0.005002628258237914
Sahne,2.0,0.002189690364737226
Salat,2.425,0.0043432135251081205
Salbe,2.06,0.0005957748091855808
Salz,2.23,0.008410773677629066
Samstag,2.71,0.12427933603681257
Sand,1.67,0.009308343199817692
Sandale,2.36,0.00066784294208584
Satz,2.82,0.04714835023135202
Sauerkirsche,2.85,0.00013195704077062725
Schachtel,2.42,0.0010172084114081087
Schaf,1.79,0.004744780634791396
Schal,2.12,0.0019826203848088667
Schale,2.47,0.0029376012919055065
Schatten,2.25,0.009856894568987182
Schatz,2.63,0.006521384565791409
Schauer,3.0,0.0017772754091860716
Schaufel,2.0,0.000883399017020768
Schaukel,1.82,0.0007158420551789283
Schaukelstuhl,2.85,0.00012422346442084845
Schaum,1.93,0.0010381400072769712
Schere,2.04,0.0018529903632692355
Scheune,2.42,0.0023605236770386276
Scheunentor,2.86,9.742222302902513e-05
Schiff,1.79,0.01659596541637274
Schildkröte,2.6,0.00098956203367866
Schirm,2.33,0.001996293069942233
Schlaf,1.75,0.005303624143743752
Schlafanzug,2.0,0.0003039712285026838
Schlag,2.35,0.010980891166398825
Schlange,2.0,0.0049900090992240536
Schleim,2.96,0.0003387375904463751
Schlitten,1.8,0.0011470236683094111
Schmerz,2.21,0.01084650291150626
Schmetterling,2.15,0.002919992355336624
Schmuck,2.41,0.0054341571876715304
Schmutz,2.21,0.0016039877283425246
Schnecke,1.84,0.00137893834112194
Schnee,1.82,0.011308086278371054
Schokolade,1.4,0.0049550111930782735
Schrank,1.995,0.003947874954461044
Schraube,2.52,0.0019682762214894415
Schreck,2.86,0.0011986580253752995
Schrei,2.26,0.0020694726150125202
Schrift,2.72,0.006646175313507376
Schritt,2.12,0.048089808957046655
Schrott,2.95,0.0015390974657070301
Schuh,1.86,0.014147570714641266
Schuhmacher,2.94,0.0006895502110317013
Schuld,2.83,0.01670721082826649
Schule,2.23,0.08681557675646306
Schulter,2.33,0.008224693179620091
Schwamm,2.5,0.0007873429047840691
Schwan,2.215,0.0022939547189379864
Schwein,1.715,0.004244772507589903
Schwert,2.44,0.0024545190458767326
Schwester,1.79,0.016412976033461656
Schwimmen,2.25,0.005069810808474092
Schwimmer,2.55,0.0023412128905843893
Schürze,2.63,0.0005671096369669395
See,2.16,0.02283955482570765
Segel,2.88,0.0025896945510563998
Seife,1.85,0.001517216538609602
Seil,2.11,0.0022676976064210726
Seite,2.26,0.1585955413200122
September,2.71,0.09523012460458617
Sessel,2.0250000000000004,0.0019413707852066779
Shampoo,2.79,0.0012457078072398223
Sieb,2.675,0.0007292021556394744
Sieg,2.64,0.06645529305183548
Sieger,2.36,0.01637030243701662
Silber,2.56,0.008415161440258655
Sirene,2.5,0.0010740640902311084
Sitz,2.0,0.020757092580957925
Sitzplatz,2.76,0.0026352161411871337
Ski,2.94,0.0045005593876378275
Socke,1.905,0.0005560186696868675
Sofa,2.145,0.0036601928605753346
Sohle,3.0,0.0013178454034007082
Sohn,2.25,0.04104637325601486
Sommer,2.06,0.0490170277143128
Sonne,1.58,0.022256723337418852
Sonnenschein,2.36,0.004377539953067842
Sonntag,2.3,0.14706792798364038
Sorge,2.94,0.024079531913945764
Soße,2.11,0.0012727637472539437
